year,month,inflation
1949,11,-0.016528925619834652
1949,12,-0.02074688796680498
1950,1,-0.020833333333333332
1950,2,-0.012605042016806753
1950,3,-0.008403361344537785
1950,4,-0.012552301255230007
1950,5,-0.004201680672268967
1950,6,-0.004184100418409953
1950,7,0.016877637130801777
1950,8,0.021008403361344536
1950,9,0.020920502092050212
1950,10,0.03797468354430389
1950,11,0.03781512605042011
1950,12,0.059322033898305024
1951,1,0.08085106382978717
1951,2,0.09361702127659571
1951,3,0.09322033898305081
1951,4,0.09322033898305081
1951,5,0.09282700421940926
1951,6,0.08823529411764697
1951,7,0.0746887966804978
1951,8,0.06584362139917686
1951,9,0.0696721311475411
1951,10,0.06504065040650397
1951,11,0.06882591093117406
1951,12,0.06
1952,1,0.04330708661417328
1952,2,0.02334630350194558
1952,3,0.01937984496124031
1952,4,0.02325581395348829
1952,5,0.019305019305019305
1952,6,0.023166023166023224
1952,7,0.030888030888030917
1952,8,0.030888030888030917
1952,9,0.022988505747126353
1952,10,0.019083969465648856
1952,11,0.011363636363636392
1952,12,0.007547169811320728
1953,1,0.003773584905660431
1953,2,0.007604562737642559
1953,3,0.011406844106463905
1953,4,0.0075757575757576835
1953,5,0.011363636363636392
1953,6,0.011320754716981159
1953,7,0.0037453183520599785
1953,8,0.007490636704119823
1953,9,0.007490636704119823
1953,10,0.011235955056179803
1953,11,0.007490636704119823
1953,12,0.007490636704119823
1954,1,0.011278195488721696
1954,2,0.015094339622641456
1954,3,0.011278195488721696
1954,4,0.007518796992481176
1954,5,0.007490636704119823
1954,6,0.00373134328358201
1954,7,0.00373134328358201
1954,8,0
1954,9,-0.0037174721189590287
1954,10,-0.007407407407407381
1954,11,-0.0037174721189590287
1954,12,-0.007434944237918189
1955,1,-0.007434944237918189
1955,2,-0.007434944237918189
1955,3,-0.007434944237918189
1955,4,-0.0037313432835821424
1955,5,-0.007434944237918189
1955,6,-0.007434944237918189
1955,7,-0.0037174721189590287
1955,8,-0.0037174721189590287
1955,9,0.00373134328358201
1955,10,0.00373134328358201
1955,11,0.00373134328358201
1955,12,0.0037453183520599785
1956,1,0.0037453183520599785
1956,2,0.0037453183520599785
1956,3,0.0037453183520599785
1956,4,0.007490636704119823
1956,5,0.011235955056179803
1956,6,0.018726591760299626
1956,7,0.022388059701492456
1956,8,0.018656716417910446
1956,9,0.01858736059479554
